"Date","Time","SP Coccion Z1","Temp Coccion Z1","Temp Combustion Z1","SP Coccion Z2","Temp Coccion Z2","Temp Combustion Z2","Tiempo Coccion [centesimas de seg]","Quemador 1","Quemador 2","Quemador 3"
"2024/10/08","00:00:06","260","258","401","266","254","408","2200","1","1","1"
"2024/10/08","00:00:36","260","258","402","266","253","408","2200","1","1","1"
"2024/10/08","00:01:06","260","258","402","266","254","408","2200","1","1","1"
"2024/10/08","00:01:36","260","258","404","266","253","408","2200","1","1","1"
"2024/10/08","00:02:06","260","258","404","266","253","409","2200","1","1","1"
"2024/10/08","00:02:36","260","259","405","266","253","409","2200","1","1","1"
"2024/10/08","00:03:06","260","259","406","266","253","409","2200","1","1","1"
"2024/10/08","00:03:36","260","259","406","266","253","409","2200","1","1","1"
"2024/10/08","00:04:06","260","259","407","266","253","410","2200","1","1","1"
"2024/10/08","00:04:36","260","259","408","266","253","410","2200","1","1","1"
"2024/10/08","00:05:06","260","259","408","266","253","410","2200","1","1","1"
"2024/10/08","00:05:36","260","259","409","266","253","410","2200","1","1","1"
"2024/10/08","00:06:06","260","260","409","266","253","410","2200","1","1","1"
"2024/10/08","00:06:36","260","260","409","266","253","410","2200","1","1","1"
"2024/10/08","00:07:06","260","260","410","266","253","410","2200","1","1","1"
"2024/10/08","00:07:36","260","260","409","266","253","411","2200","1","1","1"
"2024/10/08","00:08:06","260","260","407","266","253","412","2200","1","1","1"
"2024/10/08","00:08:36","260","260","404","266","253","413","2200","1","1","1"
"2024/10/08","00:09:06","260","260","399","266","253","414","2200","1","1","1"
"2024/10/08","00:09:36","260","261","394","266","253","414","2200","1","1","1"
"2024/10/08","00:10:06","260","261","390","266","253","415","2200","1","1","1"
"2024/10/08","00:10:36","260","261","386","266","253","416","2200","1","1","1"
"2024/10/08","00:11:06","260","261","382","266","253","416","2200","1","1","1"
"2024/10/08","00:11:36","260","261","377","266","253","417","2200","1","1","1"
"2024/10/08","00:12:06","260","261","375","266","253","417","2200","1","1","1"
"2024/10/08","00:12:36","260","261","374","266","253","417","2200","1","1","1"
"2024/10/08","00:13:06","260","261","371","266","253","418","2200","1","1","1"
"2024/10/08","00:13:36","260","261","368","266","253","418","2200","1","1","1"
"2024/10/08","00:14:06","260","261","366","266","253","418","2200","1","1","1"
"2024/10/08","00:14:36","260","261","367","266","252","418","2200","1","1","1"
"2024/10/08","00:15:06","260","261","367","266","253","419","2200","1","1","1"
"2024/10/08","00:15:36","260","261","367","266","253","419","2200","1","1","1"
"2024/10/08","00:16:06","260","261","369","266","253","419","2200","1","1","1"
"2024/10/08","00:16:36","260","261","371","266","253","419","2200","1","1","1"
"2024/10/08","00:17:06","260","261","374","266","253","419","2200","1","1","1"
"2024/10/08","00:17:36","260","261","375","266","253","419","2200","1","1","1"
